,affiliate_channel,affiliate_provider,age,country_destination,date_account_created,date_first_booking,first_affiliate_tracked,first_browser,first_device_type,gender,id,language,signup_app,signup_flow,signup_method,timestamp_first_active,date_first_active,secs_elapsed
0,direct,direct,31.0,US,2014-05-14,2014-05-14,omg,Safari,Mac Desktop,,00023iyk9l,en,Web,0,basic,20140514195452,2014-05-14,14465.0
7,direct,direct,26.0,US,2014-04-26,2014-04-26,linked,Mobile Safari,iPhone,FEMALE,002qnbzfs5,en,iOS,25,facebook,20140426210953,2014-04-26,6487080.0
15,sem-brand,google,26.0,ES,2014-04-12,2014-05-17,untracked,Safari,Mac Desktop,,006mls2sjw,en,Web,0,basic,20140412120450,2014-04-12,2424268.0
16,sem-brand,google,67.0,US,2014-03-27,2014-04-01,omg,Mobile Safari,iPad,FEMALE,006t3vhawl,en,Web,0,basic,20140327183037,2014-03-27,815416.0
17,direct,direct,30.0,US,2014-05-13,2014-05-21,untracked,Chrome,Mac Desktop,MALE,006z8b0uws,en,Web,0,facebook,20140513185026,2014-05-13,324222.0
34,direct,direct,23.0,FR,2014-06-05,2014-06-05,untracked,Safari,Mac Desktop,FEMALE,00bxmflswn,en,Web,0,basic,20140605212327,2014-06-05,3406670.0
41,sem-brand,google,21.0,ES,2014-06-22,2014-07-26,omg,Chrome,Windows Desktop,MALE,00e4nxhdvv,en,Web,0,facebook,20140622185800,2014-06-22,182551.0
46,direct,direct,27.0,DE,2014-01-29,2014-02-13,linked,Chrome,Mac Desktop,FEMALE,00fn6wu77e,de,Web,0,facebook,20140129165524,2014-01-29,2627237.0
47,direct,direct,18.0,US,2014-01-23,2014-12-17,untracked,IE,Windows Desktop,MALE,00fyswof3k,en,Web,0,basic,20140123221230,2014-01-23,3625032.0
56,direct,direct,44.0,US,2014-01-24,2014-01-25,untracked,IE,Windows Desktop,,00iapy7gb3,en,Web,0,basic,20140124004623,2014-01-24,838194.0
57,sem-brand,google,30.0,IT,2014-03-26,2014-05-07,omg,Firefox,Mac Desktop,FEMALE,00j0znb0n6,en,Web,0,facebook,20140326064624,2014-03-26,1188962.0
59,sem-non-brand,google,35.0,US,2014-05-14,2014-11-30,omg,Firefox,Windows Desktop,FEMALE,00m6r72cz5,en,Web,0,facebook,20140514170618,2014-05-14,373135.0
62,sem-brand,google,22.0,US,2014-04-08,2014-07-03,omg,Chrome,Windows Desktop,FEMALE,00nd20ya9v,en,Web,0,basic,20140408203136,2014-04-08,3694189.0
68,sem-non-brand,google,60.0,FR,2014-03-14,2014-04-13,omg,Chrome,Mac Desktop,MALE,00q5gbt7y3,en,Web,0,facebook,20140314120436,2014-03-14,1797000.0
