Numero	ID	Grupo
0	00023iyk9l	1
1	002qnbzfs5	1
2	006mls2sjw	1
3	006t3vhawl	1
4	006z8b0uws	1
5	00bxmflswn	1
6	00e4nxhdvv	1
7	00fn6wu77e	1
8	00fyswof3k	2
9	00iapy7gb3	1
10	00j0znb0n6	1
11	00m6r72cz5	0
12	00nd20ya9v	0
13	00q5gbt7y3	1
14	00ri3ux25n	1
15	00zfq9bobc	1
16	01188d2ec6	1
17	015wz0i7jm	1
18	0165xv7l4p	1
19	01azaxsab3	1
20	01b38fp04a	0
21	01c9r7ie91	1
22	01cj73ax7u	1
23	01exzqnc72	1
24	01ez9tkx4j	1
25	01hfd5lsel	1
26	01khid4m8b	0
27	01kv2ppj25	1
28	01luupsq2i	1
29	01p3ynmfs7	1
30	01toc3l9y5	1
31	01w22yhf78	0
32	020qjhjqe8	1
33	021hmh1f5i	1
34	024ata8x3d	1
35	0262vs5rv9	1
36	02708gikhn	0
37	0291diw5cw	1
38	02ba36r0nc	1
39	02c9qrqjjj	1
40	02ce32w92h	1
41	02gffb0lmn	1
42	02havb7pzy	1
43	02j4ylsh0c	0
44	02tptrizx7	1
45	02xa1emuaf	2
46	0310kb1tb0	1
47	031t8x9lia	1
48	033qwzzv1o	0
49	0375vz017c	1
50	039664pl26	1
51	039ejh5uei	1
52	039wokuc77	1
53	03dv6xhyqj	1
54	03elnptx6z	1
55	03f1zxtzk0	1
56	03f8wbfd66	1
57	03fu4odod3	1
58	03fu6zodma	1
59	03j27kl1xn	1
60	03jbozytmd	0
61	03kvrukcp2	1
62	03n7soui00	1
63	03nheise4m	0
64	03p4y7n05u	1
65	03p56fu0af	1
66	03qptb1u93	1
67	03qtkpnx47	1
68	03yyerv2a0	1
69	043jwvzwxy	1
70	044j7dp3sz	1
71	0466lq65dq	1
72	04atg7t0xx	1
73	04bzkdej2v	1
74	04d68cd73s	0
75	04e76b64iz	0
76	04echiiv9f	1
77	04esjoutcq	1
78	04ge0i584t	1
79	04h7v1ynp5	2
80	04kd9afiil	2
81	04kwlgm6ke	1
82	04pd5hw6wn	1
83	04wc90871z	1
84	04xzadyw81	1
85	055texouzb	1
86	056qnsw0nz	1
87	058h6gp2af	1
88	059polzs34	1
89	05ai1t9fa2	1
90	05ccrvp8aq	1
91	05eml9mod4	1
92	05kw6myma1	1
93	05o65qb0c3	2
94	05ovtrz9d1	1
95	05pa0vpjhq	1
96	05svu37ejk	1
97	05tbglisyd	0
98	05wa0uxq7c	1
99	05xp886mpi	1
100	05z5trjk1e	0
101	05zy2xrdy4	1
102	063ncxsex2	2
103	0678oryy95	1
104	06afpo0de6	1
105	06bokjixs2	1
106	06bwh5oorr	0
107	06f4m5rq7j	1
108	06j1lfd966	1
109	06jaq92ufb	1
110	06nw6p1rx7	1
111	06o3idddl4	0
112	06r7plwtat	1
113	06t5vzo7nb	1
114	06te3rdrpk	1
115	06vyewr5ud	2
116	06zzom3a66	1
117	0719vvlwmc	1
118	071uc8p9dl	1
119	077hu6p9fw	2
120	07a3g1xtlw	1
121	07ifh0e1ii	1
122	07jsdu6on8	1
123	07kivwznyr	1
124	07ksm7p22e	1
125	07mq2l3bkt	1
126	07p5ccjpke	1
127	07rw84uz9j	1
128	07sdk7vesz	1
129	07tnpqqd50	1
130	07uj7rw2h7	1
131	07uskni4co	1
